brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%)
1,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.38,0.01,229,203,145,161.7,125.4,68.0,0.71
2,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.01,229,197,151,246.2,121.4,67.7,1.04
3,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.37,0.11,203,183,115,169.9,119.6,65.2,0.68
4,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.05,0.01,229,192,121,208.3,120.3,68.2,0.88
5,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.1,0.01,151,115,103,256.0,119.2,67.9,1.06
6,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.33,0.01,223,145,121,243.7,118.8,63.4,0.94
7,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,194,144,241.6,117.3,61.8,0.9
8,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.16,0.01,229,192,121,260.8,122.9,65.4,1.07
9,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.3,0.01,229,195,149,187.8,120.5,64.2,0.75
10,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.31,0.09,229,194,144,242.0,118.5,64.0,0.94
11,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.06,0.11,229,192,121,237.8,116.9,66.1,0.94
12,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.36,0.01,229,197,151,200.3,123.8,66.7,0.85
13,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.35,0.12,203,183,115,261.9,114.5,64.3,0.99
14,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.01,223,145,121,130.0,115.0,61.8,0.47
15,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.18,0.01,151,115,103,249.1,115.1,65.6,0.96
16,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.7,0.01,229,197,151,256.1,114.3,66.0,0.99
