,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
1673,1674,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.46,0.14,83,39,21,256.4,115.8,62.2,0.95,7
1674,1675,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.26,0.01,153,91,36,262.2,118.3,62.0,0.99,6
1675,1676,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.28,0.01,83,39,21,237.6,115.5,64.2,0.9,7
1676,1677,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.1,0.07,109,55,37,134.1,121.2,66.6,0.56,2
1677,1678,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.16,0.01,229,96,63,241.6,125.9,67.4,1.05,3
1678,1679,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.46,0.07,83,39,21,261.0,124.4,64.9,1.08,7
1679,1680,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.09,0.13,109,55,37,254.7,123.0,65.8,1.06,2
1680,1681,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.2,0.12,109,55,37,255.5,124.5,66.3,1.08,2
1681,1682,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.4,0.1,109,55,37,240.8,123.4,66.3,1.01,2
1682,1683,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.24,0.01,229,133,39,252.5,116.1,62.8,0.94,5
1683,1684,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.15,0.01,153,91,36,241.7,118.0,65.6,0.96,6
1684,1685,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.6,0.01,109,55,37,241.8,116.2,62.0,0.89,2
1685,1686,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.16,0.01,100,54,18,153.7,118.5,63.4,0.59,0
1686,1687,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.3,0.09,83,39,21,261.8,120.1,61.9,1.0,7
1687,1688,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.6,0.01,205,73,37,242.6,116.7,67.5,0.98,9
1688,1689,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.13,0.01,136,25,25,258.3,122.1,66.8,1.08,4
1689,1690,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.17,0.01,109,55,37,260.8,120.2,63.1,1.01,2
1690,1691,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.18,0.1,229,133,39,237.9,121.1,63.6,0.94,5
1691,1692,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.44,0.01,157,93,27,252.3,121.7,61.9,0.97,6
1692,1693,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.8,0.1,95,29,19,192.2,122.0,62.6,0.75,7
1693,1694,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.42,0.12,205,73,37,260.3,123.7,66.4,1.1,9
1694,1695,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.1,0.01,229,96,63,252.8,118.4,63.2,0.97,3
1695,1696,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.2,0.01,83,39,21,238.5,117.0,64.4,0.92,7
1696,1697,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.22,0.01,136,25,25,260.3,121.6,64.1,1.04,4
1697,1698,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.48,0.01,100,54,18,138.0,119.0,63.9,0.54,0
