,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
3886,3887,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.46,0.09,229,140,97,247.9,120.9,62.8,0.97,8
3887,3888,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.9,0.01,229,102,103,181.5,120.0,67.4,0.75,4
3888,3889,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.2,0.15,149,95,67,251.9,118.0,66.0,1.01,6
3889,3890,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.47,0.01,207,104,77,205.8,115.1,65.2,0.79,5
3890,3891,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.1,0.13,179,104,70,221.8,125.7,66.4,0.95,7
3891,3892,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.11,0.01,207,104,77,257.0,123.3,65.4,1.06,5
3892,3893,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.11,0.01,229,140,97,248.0,123.6,65.1,1.02,8
3893,3894,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.3,0.01,191,87,72,199.3,124.6,64.7,0.82,0
3894,3895,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.3,0.01,191,87,72,243.5,114.3,67.9,0.97,0
3895,3896,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.47,0.01,207,104,77,220.9,118.7,66.4,0.89,5
3896,3897,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.4,0.12,229,140,97,211.2,120.5,66.0,0.86,8
3897,3898,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.41,0.01,160,76,67,245.6,117.9,67.9,1.01,3
3898,3899,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.27,0.01,156,73,62,238.6,117.9,65.7,0.95,3
3899,3900,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.26,0.09,156,73,62,260.8,125.0,63.5,1.06,3
3900,3901,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.1,0.01,229,145,105,261.5,121.6,61.8,1.01,1
3901,3902,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.47,0.07,229,145,105,245.2,116.6,61.9,0.91,1
3902,3903,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.5,0.01,229,127,111,244.4,124.5,68.2,1.06,9
3903,3904,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.06,0.01,229,140,107,252.4,119.1,63.2,0.97,1
