,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
5825,5826,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.14,0.12,229,140,115,242.5,119.6,67.8,1.01,2
5826,5827,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.44,0.12,229,178,149,244.8,120.9,68.2,1.04,3
5827,5828,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.14,0.1,194,155,102,182.5,124.9,66.3,0.78,6
5828,5829,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.27,0.01,229,178,149,257.3,124.7,66.3,1.09,3
5829,5830,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.3,0.01,229,201,145,143.1,124.8,67.8,0.62,9
5830,5831,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.2,0.07,222,171,134,235.7,123.4,64.3,0.96,5
5831,5832,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.23,0.01,185,152,119,253.7,115.9,68.1,1.03,1
5832,5833,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.18,0.14,154,137,103,247.0,114.8,67.7,0.98,4
5833,5834,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.32,0.01,222,189,147,254.7,124.1,63.2,1.02,7
5834,5835,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.1,0.01,222,189,147,253.6,115.7,63.2,0.95,7
5835,5836,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.2,0.01,229,178,149,259.6,119.8,67.5,1.08,3
5836,5837,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.05,0.01,154,137,103,261.2,117.7,67.5,1.06,4
5837,5838,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.11,0.01,229,145,124,172.0,118.6,65.7,0.69,2
5838,5839,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.23,0.01,229,206,156,142.4,122.0,64.0,0.57,0
5839,5840,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.07,0.01,222,189,147,259.8,114.8,68.2,1.04,7
5840,5841,4,Reichsformat,"250, 120, 65",Landshut,73,94,beige,2,0.19,0.01,222,171,134,242.9,120.7,67.0,1.01,5
