Unnamed: 0,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
3583,3584,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.08,0.01,122,49,53,258.6,122.9,66.1,1.08,2
3586,3587,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.12,0.01,122,49,53,245.1,117.5,67.0,0.99,2
3616,3617,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.49,0.01,122,49,53,249.6,125.2,62.0,0.99,2
3618,3619,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.11,0.09,122,49,53,252.7,125.0,63.4,1.03,2
3627,3628,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.0,0.01,122,49,53,254.6,121.9,63.8,1.02,2
3628,3629,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.35,0.01,122,49,53,167.5,125.8,63.8,0.69,2
3634,3635,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.18,0.14,122,49,53,253.8,121.1,64.5,1.02,2
3719,3720,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.29,0.13,122,49,53,250.9,114.7,62.7,0.93,2
3734,3735,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.14,0.01,122,49,53,141.8,121.9,67.5,0.6,2
3762,3763,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.2,0.08,122,49,53,247.0,121.8,68.1,1.05,2
3763,3764,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.19,0.01,122,49,53,245.5,119.3,67.1,1.01,2
3766,3767,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.13,0.01,122,49,53,258.3,123.6,67.1,1.1,2
3791,3792,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.5,0.01,122,49,53,257.0,121.6,66.0,1.06,2
3804,3805,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.31,0.01,122,49,53,253.8,118.2,62.3,0.96,2
3873,3874,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.13,0.01,122,49,53,250.8,124.7,63.8,1.02,2
3876,3877,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.18,0.01,122,49,53,165.1,122.3,65.9,0.68,2
3885,3886,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.22,0.01,122,49,53,241.0,124.4,62.4,0.96,2
3920,3921,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.39,0.01,122,49,53,243.4,116.9,63.7,0.93,2
3925,3926,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.15,0.01,122,49,53,257.7,125.6,64.4,1.07,2
3934,3935,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.4,0.01,122,49,53,249.0,122.4,65.3,1.02,2
3946,3947,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.4,0.15,122,49,53,261.8,122.8,63.7,1.05,2
3962,3963,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.43,0.01,122,49,53,252.5,122.4,61.9,0.98,2
3975,3976,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.34,0.1,122,49,53,243.4,115.8,64.0,0.93,2
3989,3990,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.2,0.01,122,49,53,259.9,124.4,66.0,1.09,2
4008,4009,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.09,0.11,122,49,53,250.5,116.6,66.4,0.99,2
4020,4021,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.11,0.01,122,49,53,239.6,120.1,65.8,0.97,2
4066,4067,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.41,0.01,122,49,53,212.2,119.6,63.8,0.83,2
4080,4081,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.23,0.01,122,49,53,259.6,114.7,66.4,1.01,2
4101,4102,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.42,0.01,122,49,53,257.7,120.3,64.8,1.03,2
4102,4103,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.06,0.01,122,49,53,136.4,121.1,62.0,0.53,2
4128,4129,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.15,0.01,122,49,53,253.1,125.1,62.0,1.01,2
4160,4161,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.38,0.14,122,49,53,243.4,117.1,67.7,0.99,2
4169,4170,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.33,0.14,122,49,53,244.7,114.8,65.5,0.94,2
4177,4178,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.31,0.01,122,49,53,174.8,124.3,68.0,0.76,2
4212,4213,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.15,0.01,122,49,53,250.9,120.2,64.3,0.99,2
4227,4228,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.42,0.01,122,49,53,261.2,119.4,64.5,1.03,2
4254,4255,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.49,0.13,122,49,53,248.9,118.0,67.4,1.02,2
4274,4275,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.46,0.01,122,49,53,255.1,115.5,63.5,0.96,2
